date,region,product,sales_rep,units_sold,unit_price,revenue,profit_margin,customer_satisfaction
2022-02-02,Asia Pacific,Headphones,Carol Davis,23,140.92,3241.16,0.169,4.9
2024-07-21,Europe,Smart TVs,Alice Johnson,26,618.54,16082.04,0.258,4.5
2020-09-19,Latin America,Smart TVs,Bob Smith,32,807.14,25828.42,0.188,3.9
2024-08-09,Asia Pacific,Headphones,Henry Taylor,19,171.06,3250.06,0.337,4.7
2020-04-13,Latin America,Cameras,Carol Davis,18,594.73,10705.19,0.207,4.0
2024-09-25,Asia Pacific,Smart TVs,Eva Brown,16,626.43,10022.88,0.215,4.6
2023-11-16,Asia Pacific,Laptops,Henry Taylor,31,757.67,23487.74,0.203,3.9
2020-02-07,Middle East & Africa,Tablets,Frank Miller,27,282.01,7614.25,0.279,4.5
2024-02-13,Middle East & Africa,Headphones,Eva Brown,20,166.11,3322.26,0.159,5.0
2020-06-06,Middle East & Africa,Cameras,Eva Brown,31,590.61,18309.05,0.216,4.3
2021-08-29,Asia Pacific,Headphones,Alice Johnson,12,131.45,1577.46,0.204,4.2
2020-01-18,North America,Smartphones,Grace Lee,12,641.07,7692.89,0.222,3.9
2021-05-04,Europe,Smartphones,Alice Johnson,25,650.14,16253.47,0.261,3.9
2021-06-21,Asia Pacific,Smartphones,Alice Johnson,25,481.24,12031.11,0.276,3.8
2024-12-04,Latin America,Tablets,Grace Lee,28,279.38,7822.59,0.181,5.0
2020-05-29,Europe,Smartphones,Frank Miller,16,552.78,8844.54,0.257,4.0
2020-09-20,Middle East & Africa,Headphones,David Wilson,32,170.52,5456.68,0.189,4.1
2022-05-16,Latin America,Smart TVs,Eva Brown,19,630.24,11974.58,0.187,3.6
2023-02-24,North America,Headphones,Eva Brown,19,125.63,2387.02,0.187,4.9
2022-06-15,Middle East & Africa,Gaming Consoles,Henry Taylor,25,387.14,9678.4,0.2,4.0
2022-09-23,North America,Smart Watches,Frank Miller,13,231.14,3004.84,0.346,3.8
2022-06-30,Europe,Smartphones,Henry Taylor,28,591.52,16562.61,0.28,3.6
2024-11-16,Middle East & Africa,Headphones,Bob Smith,25,176.01,4400.15,0.25,4.3
2021-05-30,Europe,Laptops,David Wilson,21,845.85,17762.9,0.242,4.3
2024-06-24,Latin America,Tablets,Alice Johnson,18,252.09,4537.68,0.154,3.6
2020-02-04,North America,Smartphones,Henry Taylor,18,561.75,10111.5,0.202,4.2
2022-04-05,Middle East & Africa,Smartphones,Eva Brown,29,580.31,16828.9,0.344,4.3
2021-04-01,Asia Pacific,Laptops,Carol Davis,19,888.45,16880.59,0.218,4.9
2020-02-06,Latin America,Laptops,Grace Lee,23,673.0,15478.99,0.331,4.3
2021-12-29,Middle East & Africa,Tablets,Carol Davis,27,348.65,9413.44,0.168,4.0
2021-12-18,Latin America,Tablets,Bob Smith,33,275.19,9081.11,0.216,4.5
2024-02-16,Middle East & Africa,Gaming Consoles,Henry Taylor,24,399.11,9578.57,0.162,4.3
2023-03-02,Asia Pacific,Gaming Consoles,Eva Brown,18,342.88,6171.82,0.302,4.4
2023-06-30,Middle East & Africa,Smart TVs,Bob Smith,22,601.05,13223.09,0.253,3.8
2024-07-29,Middle East & Africa,Laptops,Frank Miller,21,888.69,18662.43,0.262,4.1
2024-04-03,Asia Pacific,Smart Watches,Eva Brown,19,274.1,5207.85,0.303,4.7
2022-10-21,Asia Pacific,Smart Watches,David Wilson,32,228.57,7314.28,0.324,3.8
2020-05-13,Europe,Headphones,Eva Brown,33,173.47,5724.46,0.256,5.0
2023-06-06,Latin America,Tablets,Carol Davis,26,294.54,7658.17,0.276,4.4
2021-10-17,North America,Tablets,David Wilson,31,287.34,8907.62,0.171,4.0
2023-02-19,Latin America,Headphones,Bob Smith,18,135.96,2447.21,0.222,3.9
2021-05-16,North America,Laptops,Alice Johnson,19,726.71,13807.42,0.177,3.6
2021-01-24,Europe,Tablets,Henry Taylor,21,249.93,5248.53,0.325,4.3
2022-10-25,North America,Cameras,Alice Johnson,18,478.6,8614.76,0.316,4.4
2024-06-21,North America,Tablets,Grace Lee,20,343.77,6875.33,0.313,5.0
2022-02-09,Middle East & Africa,Gaming Consoles,Eva Brown,23,380.46,8750.49,0.198,3.8
2020-01-01,Asia Pacific,Smart Watches,Eva Brown,16,275.7,4411.2,0.159,3.9
2024-04-23,Europe,Smartphones,Bob Smith,20,553.87,11077.33,0.313,5.0
2022-09-16,Asia Pacific,Laptops,Alice Johnson,14,881.64,12343.01,0.274,4.6
2021-03-10,Latin America,Smartphones,Frank Miller,21,613.16,12876.27,0.168,4.6
2020-09-05,North America,Smart TVs,Grace Lee,19,801.46,15227.77,0.34,3.7
2020-07-02,North America,Smartphones,Alice Johnson,20,715.21,14304.16,0.249,4.0
2024-11-05,Asia Pacific,Smart TVs,Carol Davis,18,595.85,10725.35,0.18,3.7
2024-03-23,Latin America,Smart TVs,David Wilson,18,692.71,12468.77,0.284,3.8
2021-09-25,Asia Pacific,Tablets,Eva Brown,15,261.24,3918.62,0.168,3.7
2020-08-20,Latin America,Smartphones,Frank Miller,18,645.69,11622.51,0.158,4.7
2023-02-18,Asia Pacific,Gaming Consoles,Henry Taylor,11,448.99,4938.91,0.3,3.8
2021-12-19,Europe,Headphones,Grace Lee,30,123.74,3712.21,0.18,3.7
2022-10-23,Asia Pacific,Gaming Consoles,David Wilson,13,405.22,5267.84,0.198,3.9
2021-04-29,Latin America,Smartphones,Grace Lee,17,558.6,9496.19,0.174,4.8
2023-05-20,North America,Headphones,Bob Smith,24,125.22,3005.17,0.257,4.4
2024-12-04,North America,Headphones,Carol Davis,27,173.98,4697.43,0.272,3.9
2020-11-10,Middle East & Africa,Cameras,Eva Brown,42,445.07,18692.8,0.223,4.2
2023-10-05,Asia Pacific,Cameras,Frank Miller,24,568.46,13643.11,0.16,3.5
2020-08-16,Latin America,Smart TVs,Grace Lee,27,816.87,22055.51,0.151,5.0
2024-06-17,Asia Pacific,Cameras,Alice Johnson,27,495.32,13373.75,0.318,3.8
2023-12-04,Latin America,Tablets,David Wilson,30,253.78,7613.41,0.272,3.9
2020-05-18,Latin America,Smart Watches,Carol Davis,21,245.43,5153.96,0.26,4.3
2022-06-16,Middle East & Africa,Smart TVs,Bob Smith,15,560.76,8411.39,0.173,4.2
2024-04-22,Asia Pacific,Cameras,Grace Lee,28,593.01,16604.15,0.175,4.6
2023-03-06,Europe,Headphones,Carol Davis,21,128.39,2696.11,0.309,3.8
2022-03-08,Asia Pacific,Smart Watches,Eva Brown,25,252.31,6307.66,0.222,4.8
2020-03-29,Europe,Smart TVs,Henry Taylor,19,689.55,13101.46,0.21,4.6
2020-05-22,North America,Laptops,Alice Johnson,27,813.94,21976.3,0.331,4.4
2020-07-16,Asia Pacific,Gaming Consoles,Carol Davis,21,447.04,9387.92,0.274,4.3
2023-06-08,Asia Pacific,Headphones,Eva Brown,18,134.91,2428.37,0.299,3.6
2021-08-20,Europe,Smartphones,Eva Brown,26,677.1,17604.65,0.172,4.8
2020-08-03,Latin America,Smart TVs,Grace Lee,24,624.19,14980.57,0.294,4.6
2020-04-04,Asia Pacific,Tablets,David Wilson,20,281.48,5629.67,0.186,4.9
2021-07-03,Europe,Cameras,Carol Davis,18,501.18,9021.2,0.272,3.5
2022-04-07,Asia Pacific,Headphones,David Wilson,21,175.35,3682.35,0.291,3.7
2021-08-26,Europe,Laptops,Frank Miller,12,908.94,10907.29,0.332,3.7
2024-06-24,Middle East & Africa,Smartphones,Frank Miller,21,534.57,11226.07,0.272,4.1
2023-08-25,North America,Smartphones,David Wilson,24,507.42,12178.18,0.233,4.8
2021-01-20,Europe,Tablets,Bob Smith,28,243.94,6830.36,0.333,3.9
2020-01-25,Latin America,Cameras,Eva Brown,27,516.12,13935.18,0.276,3.5
2024-02-01,North America,Gaming Consoles,Alice Johnson,31,386.34,11976.54,0.167,5.0
2021-07-14,North America,Smart TVs,Eva Brown,22,783.94,17246.66,0.22,4.2
2023-08-21,Middle East & Africa,Smart Watches,Frank Miller,25,229.4,5735.11,0.293,4.3
2021-05-16,Latin America,Laptops,Bob Smith,20,672.95,13459.08,0.217,3.6
2024-07-24,Europe,Smartphones,Carol Davis,26,486.09,12638.41,0.181,4.6
2023-10-04,North America,Laptops,Grace Lee,16,801.76,12828.2,0.269,4.0
2023-06-06,Asia Pacific,Tablets,Alice Johnson,25,336.64,8415.94,0.348,4.4
2022-03-24,Asia Pacific,Smart TVs,David Wilson,29,673.79,19539.91,0.215,3.6
2020-11-25,North America,Gaming Consoles,Eva Brown,31,462.83,14347.65,0.313,4.0
2022-01-15,Europe,Tablets,Grace Lee,18,283.53,5103.56,0.322,3.8
2024-03-09,Latin America,Smart TVs,Alice Johnson,26,810.47,21072.34,0.31,4.1
2023-02-12,North America,Cameras,Alice Johnson,20,451.58,9031.55,0.178,4.8
2020-01-04,Europe,Smartphones,Eva Brown,15,484.41,7266.21,0.333,3.7
2023-10-11,North America,Cameras,Bob Smith,21,565.95,11884.92,0.191,3.5
2020-01-27,North America,Gaming Consoles,Frank Miller,23,421.3,9689.8,0.249,4.4
2023-11-25,Europe,Smart Watches,David Wilson,36,235.39,8473.94,0.342,3.8
2021-11-23,Latin America,Tablets,Bob Smith,18,292.46,5264.34,0.333,4.6
2022-01-13,Asia Pacific,Cameras,Bob Smith,19,427.0,8113.0,0.247,3.9
2022-01-20,Latin America,Tablets,Carol Davis,30,314.8,9444.0,0.245,4.0
2020-10-22,North America,Laptops,Alice Johnson,23,787.1,18103.26,0.165,3.6
2020-04-17,Latin America,Tablets,Frank Miller,17,355.45,6042.68,0.308,4.5
2024-02-29,Latin America,Cameras,Henry Taylor,26,561.31,14594.12,0.282,4.5
2021-12-10,North America,Smartphones,Alice Johnson,33,492.38,16248.64,0.284,3.6
2022-11-05,North America,Gaming Consoles,Bob Smith,31,325.43,10088.37,0.289,3.9
2021-11-18,Europe,Tablets,Grace Lee,36,246.59,8877.09,0.241,4.3
2021-09-06,North America,Cameras,Grace Lee,18,496.21,8931.82,0.327,4.3
2022-09-12,Latin America,Gaming Consoles,Grace Lee,24,425.86,10220.76,0.298,4.3
2021-05-07,Europe,Headphones,Frank Miller,19,179.42,3408.99,0.15,3.8
2023-07-21,Asia Pacific,Tablets,Grace Lee,15,297.57,4463.61,0.266,3.9
2021-01-11,Europe,Cameras,Alice Johnson,18,546.45,9836.18,0.151,4.2
2021-01-10,Europe,Headphones,Bob Smith,16,121.07,1937.16,0.348,4.1
2022-03-27,North America,Smart TVs,David Wilson,24,676.92,16246.14,0.326,4.9
2020-01-11,Middle East & Africa,Smartphones,Alice Johnson,23,576.38,13256.72,0.318,3.8
2023-06-20,Middle East & Africa,Cameras,Bob Smith,12,407.35,4888.16,0.341,4.7
2024-03-20,Middle East & Africa,Cameras,Grace Lee,16,519.45,8311.28,0.255,3.9
2021-02-22,Europe,Smartphones,Frank Miller,19,659.49,12530.29,0.157,4.8
2023-10-12,Europe,Tablets,Alice Johnson,18,297.2,5349.62,0.159,4.8
2020-06-18,North America,Gaming Consoles,Henry Taylor,33,365.02,12045.74,0.201,3.5
2023-06-28,Middle East & Africa,Smart TVs,Bob Smith,31,813.82,25228.54,0.264,4.5
2020-02-09,Asia Pacific,Smart Watches,Eva Brown,23,286.82,6596.77,0.199,3.7
2022-03-26,North America,Smart Watches,Carol Davis,13,218.92,2845.99,0.326,4.9
2022-01-30,Asia Pacific,Gaming Consoles,Grace Lee,24,350.9,8421.63,0.167,4.0
2023-06-10,North America,Smart TVs,Grace Lee,21,789.23,16573.83,0.176,3.9
2024-01-18,Europe,Laptops,Henry Taylor,25,697.44,17435.98,0.301,4.7
2022-07-04,Latin America,Smartphones,David Wilson,20,496.16,9923.28,0.266,4.0
2021-04-18,Asia Pacific,Smartphones,Bob Smith,19,622.66,11830.45,0.227,3.6
2022-11-22,Asia Pacific,Tablets,Bob Smith,30,252.26,7567.9,0.321,4.3
2022-03-07,Middle East & Africa,Tablets,David Wilson,25,267.61,6690.16,0.176,4.8
2023-11-06,Latin America,Smart TVs,David Wilson,36,647.35,23304.48,0.214,4.6
2023-03-31,Middle East & Africa,Tablets,Henry Taylor,26,307.53,7995.78,0.244,4.3
2022-12-19,North America,Laptops,Eva Brown,37,840.39,31094.45,0.176,3.5
2021-01-12,Asia Pacific,Headphones,Frank Miller,19,155.9,2962.09,0.271,3.9
2021-06-04,North America,Headphones,Grace Lee,26,155.42,4040.81,0.237,5.0
2021-12-21,Middle East & Africa,Smartphones,Frank Miller,27,624.0,16848.13,0.208,4.5
2022-03-11,Latin America,Cameras,Alice Johnson,13,597.33,7765.32,0.178,4.2
2023-01-14,Latin America,Headphones,Alice Johnson,21,139.59,2931.34,0.254,3.6
2021-08-11,Latin America,Smartphones,Frank Miller,16,677.15,10834.33,0.158,4.5
2020-11-12,Asia Pacific,Tablets,Frank Miller,31,313.55,9720.15,0.21,4.9
2024-09-09,Latin America,Cameras,David Wilson,18,416.02,7488.41,0.329,4.3
2023-08-30,Europe,Gaming Consoles,Carol Davis,9,390.18,3511.59,0.295,4.4
2024-03-27,Middle East & Africa,Laptops,Eva Brown,21,790.46,16599.63,0.299,4.8
2020-11-04,Asia Pacific,Headphones,Bob Smith,27,149.6,4039.11,0.166,4.1
2021-03-20,Middle East & Africa,Cameras,Grace Lee,16,434.84,6957.42,0.342,4.1
2020-01-24,Latin America,Smart Watches,David Wilson,23,250.48,5761.14,0.259,4.3
2024-06-28,Latin America,Smartphones,Eva Brown,22,623.45,13715.98,0.309,4.5
2022-01-24,Asia Pacific,Smartphones,Frank Miller,18,591.8,10652.31,0.317,3.9
2022-03-04,Latin America,Smart TVs,Frank Miller,15,831.99,12479.86,0.186,4.8
2022-10-01,North America,Cameras,Frank Miller,26,502.96,13077.05,0.222,4.4
2022-04-17,North America,Tablets,Alice Johnson,33,318.81,10520.68,0.215,4.7
2024-08-26,Middle East & Africa,Gaming Consoles,Grace Lee,19,391.8,7444.28,0.284,3.7
2020-05-12,Latin America,Smart TVs,Carol Davis,30,660.59,19817.71,0.226,4.4
2021-11-17,Middle East & Africa,Headphones,Eva Brown,36,146.78,5284.16,0.323,4.3
2023-06-28,Middle East & Africa,Headphones,Bob Smith,19,158.4,3009.6,0.195,3.8
2022-12-18,Middle East & Africa,Laptops,Alice Johnson,31,767.16,23782.0,0.246,4.5
2020-05-05,Europe,Laptops,Bob Smith,16,749.65,11994.39,0.256,3.7
2024-07-19,Middle East & Africa,Headphones,Henry Taylor,34,129.74,4411.26,0.188,4.6
2021-10-30,Middle East & Africa,Gaming Consoles,Frank Miller,16,476.58,7625.3,0.225,3.5
2023-03-14,Europe,Smart TVs,Grace Lee,21,820.67,17233.98,0.288,4.5
2023-03-16,Middle East & Africa,Smart TVs,Eva Brown,21,604.6,12696.61,0.271,4.0
2023-03-30,North America,Laptops,Henry Taylor,24,732.38,17577.11,0.172,4.5
2023-01-30,Latin America,Cameras,Carol Davis,24,559.56,13429.51,0.237,4.7
2023-09-29,North America,Smart Watches,Grace Lee,22,256.34,5639.57,0.226,4.3
2023-12-11,North America,Smart TVs,Alice Johnson,28,724.38,20282.56,0.184,4.5
2022-08-19,North America,Tablets,Eva Brown,26,297.5,7735.05,0.155,4.0
2020-01-12,Middle East & Africa,Smartphones,Henry Taylor,21,625.9,13143.84,0.303,4.7
2021-05-12,Latin America,Tablets,Carol Davis,27,351.24,9483.59,0.162,4.9
2021-04-14,Asia Pacific,Smartphones,Frank Miller,20,548.37,10967.39,0.211,4.7
2020-10-17,Europe,Headphones,Frank Miller,23,144.81,3330.7,0.174,3.8
2023-10-06,Latin America,Smartphones,Grace Lee,20,505.65,10113.01,0.263,3.9
2020-02-05,Latin America,Headphones,Frank Miller,24,122.6,2942.51,0.277,4.9
2022-06-05,Middle East & Africa,Cameras,David Wilson,19,522.2,9921.73,0.232,4.8
2021-08-06,North America,Smartphones,Carol Davis,24,677.43,16258.26,0.235,4.5
2020-05-25,Asia Pacific,Headphones,Bob Smith,19,130.08,2471.54,0.297,4.8
2021-09-22,Middle East & Africa,Laptops,Frank Miller,21,714.22,14998.68,0.228,4.4
2023-07-01,North America,Smartphones,Henry Taylor,16,577.04,9232.58,0.236,4.6
2024-11-11,Asia Pacific,Gaming Consoles,Henry Taylor,21,435.89,9153.78,0.266,3.9
2022-10-02,Latin America,Smart TVs,Eva Brown,27,650.54,17564.69,0.195,4.0
2021-12-08,Middle East & Africa,Laptops,David Wilson,18,714.79,12866.18,0.258,4.8
2024-05-04,Asia Pacific,Cameras,David Wilson,18,533.9,9610.15,0.349,4.5
2023-05-17,Asia Pacific,Smartphones,Grace Lee,19,614.95,11684.07,0.342,3.8
2020-10-13,North America,Gaming Consoles,Henry Taylor,19,451.49,8578.29,0.15,4.0
2024-07-29,Latin America,Tablets,Henry Taylor,21,356.9,7494.89,0.154,4.6
2023-06-25,Latin America,Laptops,Alice Johnson,26,722.26,18778.63,0.308,4.8
2022-10-09,Latin America,Cameras,David Wilson,23,460.63,10594.39,0.203,4.0
2020-12-06,Europe,Tablets,Alice Johnson,31,287.64,8916.77,0.239,4.4
2020-11-06,Asia Pacific,Cameras,Carol Davis,31,478.21,14824.47,0.25,4.1
2021-11-08,Europe,Smart Watches,Carol Davis,33,272.14,8980.69,0.178,3.8
2024-03-29,North America,Gaming Consoles,Eva Brown,21,370.2,7774.13,0.271,3.7
2020-12-01,Middle East & Africa,Headphones,Carol Davis,33,148.69,4906.9,0.251,3.8
2023-04-11,Latin America,Headphones,Henry Taylor,14,176.19,2466.62,0.325,3.9
2021-03-22,Middle East & Africa,Tablets,Frank Miller,21,286.38,6013.88,0.263,3.8
2020-12-10,Europe,Cameras,Carol Davis,36,459.47,16540.96,0.236,3.8
2020-05-28,North America,Headphones,Frank Miller,17,161.5,2745.45,0.274,4.4
2024-04-24,North America,Smart Watches,Grace Lee,16,265.57,4249.16,0.32,4.6
2024-02-17,Latin America,Gaming Consoles,Frank Miller,22,404.08,8889.78,0.246,3.8
2021-08-20,Middle East & Africa,Cameras,Grace Lee,19,403.84,7672.93,0.202,4.6
2023-12-17,Middle East & Africa,Laptops,Eva Brown,46,675.12,31055.32,0.26,4.2
2020-11-03,Middle East & Africa,Smartphones,Frank Miller,22,656.97,14453.25,0.245,4.1
2023-12-30,Middle East & Africa,Cameras,Bob Smith,25,487.52,12188.02,0.201,4.8
2020-08-19,Middle East & Africa,Headphones,Carol Davis,20,147.01,2940.15,0.195,4.8
2022-05-05,Middle East & Africa,Tablets,Eva Brown,23,321.63,7397.43,0.158,3.6
2020-02-12,North America,Smart Watches,Carol Davis,12,295.65,3547.8,0.298,4.0
2020-12-31,Latin America,Tablets,David Wilson,36,262.22,9440.04,0.185,3.6
2020-12-15,Europe,Cameras,Grace Lee,25,524.93,13123.32,0.226,3.8
2024-05-03,Latin America,Cameras,David Wilson,24,506.06,12145.45,0.158,5.0
2020-05-28,Latin America,Headphones,Carol Davis,21,168.71,3542.83,0.281,3.7
2022-02-21,North America,Smart TVs,Bob Smith,16,680.98,10895.7,0.238,4.4
2022-02-28,Latin America,Cameras,David Wilson,14,577.38,8083.39,0.279,3.9
2024-04-16,North America,Headphones,Alice Johnson,21,133.26,2798.54,0.346,4.6
2020-08-25,Latin America,Smart TVs,Carol Davis,17,635.41,10802.02,0.258,4.6
2022-02-08,Middle East & Africa,Smart Watches,Grace Lee,20,234.24,4684.77,0.233,4.6
2023-10-08,Asia Pacific,Gaming Consoles,Frank Miller,21,459.73,9654.36,0.277,4.6
2023-02-08,Europe,Smartphones,Henry Taylor,26,526.55,13690.27,0.326,4.5
2021-04-17,Europe,Smart Watches,Henry Taylor,25,268.79,6719.71,0.225,4.3
2022-07-20,Europe,Smartphones,Bob Smith,21,515.73,10830.4,0.211,4.8
2023-01-29,Europe,Headphones,Grace Lee,19,173.17,3290.26,0.269,4.1
2024-02-01,Middle East & Africa,Smartphones,Frank Miller,15,573.04,8595.62,0.23,4.8
2023-05-29,Asia Pacific,Smart TVs,Eva Brown,21,716.98,15056.68,0.271,4.5
2021-08-16,Asia Pacific,Gaming Consoles,David Wilson,25,332.33,8308.23,0.162,4.0
2021-06-25,Europe,Cameras,Eva Brown,28,488.04,13665.11,0.179,4.0
2023-04-21,North America,Smartphones,Grace Lee,16,656.56,10504.95,0.35,4.9
2020-06-09,North America,Cameras,David Wilson,24,537.18,12892.37,0.348,4.6
2020-05-16,Europe,Smart TVs,Eva Brown,15,653.66,9804.95,0.155,3.5
2020-09-10,Middle East & Africa,Cameras,Alice Johnson,28,411.23,11514.36,0.321,3.8
2021-08-03,Middle East & Africa,Smart TVs,Eva Brown,20,822.46,16449.18,0.291,4.4
2021-09-29,Europe,Tablets,Alice Johnson,24,246.87,5924.97,0.195,3.7
2024-05-11,Latin America,Smart TVs,Alice Johnson,31,575.98,17855.23,0.206,3.9
2020-06-11,Latin America,Cameras,Henry Taylor,22,453.63,9979.81,0.181,4.8
2024-06-30,Latin America,Smartphones,Bob Smith,25,555.65,13891.14,0.304,3.6
2023-11-23,Europe,Smart TVs,Henry Taylor,31,807.0,25016.94,0.229,4.7
2022-06-14,North America,Smart Watches,Bob Smith,27,233.83,6313.31,0.212,4.9
2021-03-20,North America,Laptops,Bob Smith,23,668.43,15373.86,0.287,4.3
2024-08-14,Middle East & Africa,Smart Watches,Bob Smith,19,279.17,5304.23,0.26,4.4
2024-02-26,Europe,Laptops,Bob Smith,25,787.93,19698.36,0.232,4.5
2023-01-14,Latin America,Smart TVs,Grace Lee,20,688.59,13771.74,0.16,4.7
2022-08-17,Middle East & Africa,Headphones,Bob Smith,18,151.16,2720.94,0.191,4.8
2024-10-15,Latin America,Headphones,Frank Miller,16,179.1,2865.59,0.304,3.5
2024-11-18,Asia Pacific,Smart TVs,David Wilson,30,589.53,17685.98,0.281,4.7
2023-04-16,Asia Pacific,Tablets,Eva Brown,32,302.8,9689.59,0.207,4.7
2020-06-12,Middle East & Africa,Smart Watches,Henry Taylor,28,291.51,8162.25,0.257,3.7
2021-04-12,Latin America,Smartphones,Grace Lee,21,695.32,14601.82,0.184,4.3
2020-08-07,North America,Gaming Consoles,Henry Taylor,18,451.26,8122.69,0.213,4.7
2020-12-31,Asia Pacific,Smart TVs,Alice Johnson,36,830.8,29908.64,0.234,5.0
2024-04-05,Middle East & Africa,Smartphones,David Wilson,22,644.85,14186.63,0.169,3.5
2022-07-18,Europe,Cameras,Frank Miller,27,571.64,15434.16,0.314,4.3
2020-07-29,Latin America,Headphones,Alice Johnson,24,147.56,3541.34,0.222,4.2
2023-02-28,Latin America,Headphones,Frank Miller,15,169.56,2543.38,0.17,3.9
2024-09-11,Europe,Laptops,Carol Davis,19,848.37,16118.98,0.274,4.0
2022-04-16,Latin America,Tablets,Frank Miller,14,279.01,3906.17,0.287,3.6
2021-03-29,North America,Headphones,David Wilson,12,171.98,2063.8,0.193,4.0
2021-06-16,Asia Pacific,Laptops,Eva Brown,22,929.15,20441.4,0.197,4.7
2024-11-22,Middle East & Africa,Gaming Consoles,Bob Smith,33,320.03,10560.99,0.184,4.1
2021-07-11,Latin America,Smart Watches,Henry Taylor,16,280.24,4483.77,0.246,3.5
2021-02-27,Europe,Cameras,Grace Lee,14,594.56,8323.77,0.315,4.5
2020-10-10,Latin America,Smart Watches,Grace Lee,22,262.82,5782.12,0.257,4.5
2022-10-08,Middle East & Africa,Smart Watches,David Wilson,13,201.24,2616.13,0.244,4.0
2023-05-11,Middle East & Africa,Tablets,Alice Johnson,17,245.78,4178.21,0.331,4.8
2024-07-18,North America,Smart TVs,Grace Lee,26,794.68,20661.75,0.207,4.1
2022-02-17,Europe,Smart Watches,Grace Lee,22,222.02,4884.5,0.248,4.6
2023-05-09,Middle East & Africa,Laptops,David Wilson,26,945.86,24592.46,0.155,4.5
2023-12-18,Latin America,Cameras,David Wilson,28,468.16,13108.57,0.183,3.8
2021-06-16,Asia Pacific,Cameras,David Wilson,28,535.29,14987.99,0.176,3.9
2020-03-16,Middle East & Africa,Tablets,Frank Miller,17,296.75,5044.71,0.347,3.9
2023-07-09,North America,Smartphones,Alice Johnson,32,592.71,18966.85,0.24,4.2
2022-05-16,Asia Pacific,Smart TVs,Eva Brown,20,710.36,14207.24,0.321,3.6
2023-03-05,Asia Pacific,Headphones,David Wilson,17,146.31,2487.31,0.194,4.1
2021-01-16,North America,Laptops,Henry Taylor,13,676.43,8793.57,0.219,4.3
2022-11-30,Middle East & Africa,Smart TVs,Carol Davis,42,669.16,28104.9,0.296,4.8
2022-08-14,Middle East & Africa,Smart Watches,David Wilson,22,271.84,5980.54,0.341,4.6
2023-03-22,Asia Pacific,Cameras,Grace Lee,16,560.07,8961.14,0.283,3.6
2024-11-09,Latin America,Smart TVs,David Wilson,40,649.9,25996.11,0.3,4.1
2024-12-25,North America,Smartphones,Bob Smith,39,600.52,23420.16,0.178,3.7
2024-04-23,Latin America,Tablets,David Wilson,22,303.6,6679.18,0.316,5.0
2020-09-14,North America,Laptops,Frank Miller,20,667.01,13340.11,0.23,4.9
2021-07-27,North America,Gaming Consoles,Grace Lee,22,330.78,7277.19,0.227,4.8
2021-02-23,Asia Pacific,Smart Watches,Grace Lee,20,259.03,5180.57,0.195,4.1
2020-07-13,Latin America,Headphones,Grace Lee,28,173.38,4854.62,0.152,4.1
2023-02-15,Latin America,Headphones,Alice Johnson,20,129.94,2598.75,0.279,3.6
2022-04-12,North America,Gaming Consoles,David Wilson,18,380.63,6851.26,0.151,4.1
2024-02-07,Asia Pacific,Laptops,Alice Johnson,22,756.67,16646.74,0.194,5.0
